Merge Sort - 100,Quick Sort - 100,Merge Sort Async - 100,Quick Sort Async - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort Async - 1000,Quick Sort Async - 1000,Merge Sort - 10000,Quick Sort - 10000,Merge Sort Async - 10000,Quick Sort Async - 10000
222.772ms,120.625µs,374.75µs,91.667µs,218.377667ms,54.042µs,80.917µs,59.125µs,224.23625ms,94.5µs,79.958µs,68.5µs
336.5µs,144.208µs,231.375µs,102.583µs,207.625µs,46.417µs,58.542µs,44.625µs,410.75µs,77.458µs,80.833µs,54.834µs
190.958µs,113.417µs,219µs,62.459µs,230.625µs,57.709µs,62.292µs,44.458µs,258µs,103.958µs,75.417µs,65.916µs
162.667µs,133.042µs,195.083µs,84.333µs,167.416µs,51.083µs,48.083µs,48.125µs,154.208µs,79.583µs,69.25µs,50.167µs
178.083µs,110.125µs,164.958µs,89.791µs,191.542µs,45.625µs,59.75µs,47.25µs,553.333µs,140.833µs,76.334µs,42.417µs
125.416µs,84.75µs,171µs,76.5µs,170.334µs,58.292µs,75.625µs,46.666µs,195.875µs,70.042µs,46.75µs,47.625µs
116.833µs,158.208µs,141.667µs,65.042µs,197.292µs,53.25µs,44.292µs,48.459µs,159.875µs,93.375µs,50.083µs,58µs
182.334µs,102.25µs,177.459µs,105.042µs,183.041µs,41.333µs,45.959µs,47.625µs,143.292µs,89.917µs,55.041µs,53.75µs
140.291µs,86.959µs,162.375µs,110.791µs,169.666µs,43.666µs,73.458µs,58.833µs,167.458µs,80.75µs,49.166µs,65.666µs
132.959µs,117.333µs,140.333µs,103.416µs,172.167µs,48.333µs,84.375µs,41.459µs,194.917µs,83.208µs,63.167µs,53.041µs
103.041µs,92.583µs,174.25µs,119.375µs,119.875µs,37.625µs,43.958µs,61.875µs,137.208µs,62.375µs,60.958µs,44.958µs
121.958µs,87.75µs,129.667µs,98.542µs,159.5µs,45.417µs,56.709µs,42.334µs,133.542µs,72.5µs,63.208µs,43.541µs
94.542µs,102.833µs,121.083µs,934.25µs,152.958µs,47.917µs,54.25µs,53.375µs,138.084µs,85.125µs,71.5µs,55.5µs
104.083µs,103.875µs,114.917µs,113.083µs,138.916µs,64.875µs,42.959µs,63.292µs,139.958µs,79.584µs,59.208µs,54.333µs
105.375µs,80.125µs,164.666µs,98.625µs,146.209µs,41.166µs,81.375µs,39.958µs,143.792µs,70.708µs,65.667µs,59.208µs
125.417µs,89.416µs,142.375µs,78.292µs,141.458µs,52.417µs,109.541µs,58µs,138.709µs,79.166µs,86.042µs,68.416µs
119.417µs,109.167µs,132.833µs,83.375µs,109.292µs,57.292µs,69.5µs,43µs,153.5µs,77.959µs,46.958µs,66.25µs
112.542µs,128.5µs,162.25µs,99.083µs,110.042µs,69.959µs,57.709µs,54.458µs,123.625µs,68.917µs,51.542µs,41.875µs
167.542µs,112.083µs,145.333µs,86.416µs,109.5µs,58.125µs,69.459µs,54.166µs,129.75µs,63.084µs,49.958µs,44.375µs
106.208µs,119.583µs,150.083µs,78.625µs,118.834µs,44.75µs,44.166µs,51.5µs,128.125µs,63.5µs,49.417µs,70µs
109.959µs,110.458µs,172.709µs,73.833µs,140.042µs,43.042µs,42.625µs,48.833µs,152µs,84.25µs,50.625µs,62.083µs
361.042µs,83.083µs,226.667µs,84µs,113.875µs,59.833µs,52.292µs,51.708µs,118µs,112.584µs,56.459µs,61.875µs
304.5µs,87.625µs,166.5µs,102.041µs,127.042µs,45.709µs,51.291µs,52.667µs,122.375µs,83.416µs,47.75µs,53.583µs
308.208µs,111.167µs,141.458µs,90.042µs,133.417µs,50.958µs,73.667µs,41.583µs,131.583µs,80.958µs,53.583µs,48.084µs
276.167µs,103.542µs,184.958µs,119.917µs,106.708µs,44.292µs,71.625µs,45.375µs,114.542µs,95.208µs,61.125µs,42.375µs
380.708µs,87.833µs,184µs,79.083µs,107.125µs,69.375µs,63.417µs,49.667µs,114.916µs,61.334µs,49.833µs,47.708µs
249.667µs,97.375µs,237.583µs,78.959µs,142.667µs,56.625µs,55.209µs,45.958µs,149.667µs,80.292µs,50.667µs,49.417µs
304.583µs,94.916µs,129.041µs,59.542µs,119.833µs,74.125µs,56.125µs,51.417µs,145.083µs,61.125µs,59.042µs,44.084µs
281.875µs,91.541µs,117.5µs,94.167µs,895µs,46.25µs,59.25µs,57.333µs,133.666µs,93.291µs,40.208µs,48.542µs
320.25µs,120.542µs,161.458µs,75.292µs,664.333µs,66.458µs,46.75µs,67.333µs,113.584µs,69.333µs,45.083µs,44.667µs
253.167µs,106.666µs,128.667µs,65.583µs,222.083µs,56.625µs,60.084µs,44.916µs,138.375µs,84.416µs,48.625µs,57.666µs
336.791µs,86.792µs,135.875µs,74.417µs,413.125µs,51.083µs,50.875µs,53.75µs,135.833µs,78.084µs,50µs,49.041µs
263.125µs,96.458µs,147µs,124.292µs,320.125µs,42.042µs,45.667µs,51.167µs,140.125µs,62.916µs,57.583µs,56.875µs
276.209µs,128.958µs,154.875µs,91.625µs,284.417µs,53.458µs,74.208µs,55.75µs,190.25µs,76.167µs,58.5µs,41.208µs
221.666µs,89.125µs,150.208µs,99.208µs,275.041µs,41.416µs,42.333µs,55.083µs,413µs,83.708µs,56.333µs,59.834µs
339.75µs,146.542µs,170.25µs,79.833µs,281.083µs,50.125µs,50.041µs,53.458µs,413.459µs,78.875µs,45.334µs,66.458µs
244.958µs,96.125µs,125.375µs,96.541µs,272µs,47.792µs,42.375µs,41.959µs,342.833µs,88.333µs,64µs,52.709µs
251.083µs,89.292µs,135.125µs,87.916µs,202.917µs,42.792µs,44.083µs,43.834µs,372.458µs,67.5µs,48.583µs,59.375µs
288.666µs,74.833µs,144.292µs,98.417µs,248.208µs,46.792µs,63.125µs,55.125µs,305.375µs,100.75µs,57.958µs,52.416µs
254.583µs,81.333µs,143.875µs,93.042µs,284.958µs,39.5µs,57.958µs,66.792µs,258.041µs,95.125µs,69.125µs,52.833µs
269.375µs,75.708µs,129.417µs,90.459µs,228.667µs,41.875µs,49.667µs,75.833µs,393.791µs,67.166µs,49.916µs,56.709µs
202.292µs,84.875µs,119.667µs,103.667µs,190.625µs,39.875µs,46.083µs,49.625µs,196.584µs,110.708µs,49.292µs,40.042µs
217.917µs,72µs,120.458µs,102.166µs,244.416µs,48.25µs,58.667µs,74.458µs,221.208µs,64.75µs,55.208µs,44.375µs
291µs,88.292µs,127.5µs,93.375µs,338.042µs,52.791µs,61.916µs,48.625µs,261.625µs,91.083µs,76.542µs,38.417µs
168.75µs,86.875µs,114.375µs,113.167µs,248.333µs,46.042µs,49µs,44.667µs,210.291µs,64.875µs,63.292µs,279.125µs
329.458µs,95.583µs,149.5µs,86µs,227.541µs,43.083µs,54.667µs,44.041µs,252.292µs,76.666µs,70.125µs,96.084µs
185.083µs,72.792µs,163.5µs,123.375µs,237.583µs,53.292µs,59.417µs,59.208µs,158.667µs,69.625µs,40.25µs,50.125µs
250.208µs,99.125µs,210.292µs,93.292µs,161.333µs,57.625µs,43.458µs,41.417µs,182.542µs,87µs,50.041µs,40.208µs
187.875µs,114.084µs,341.833µs,107.208µs,150.666µs,49µs,55.75µs,47.792µs,185.792µs,88.416µs,64.917µs,53.375µs
226.083µs,66.458µs,303.416µs,102.083µs,234µs,45.208µs,48.166µs,65µs,151.792µs,74.916µs,51.084µs,48.542µs
179.583µs,70.625µs,262µs,88.917µs,209.334µs,56.167µs,53.5µs,47.708µs,133.834µs,85.375µs,51.667µs,48.958µs
239.625µs,73.75µs,149.125µs,94.25µs,286.75µs,55.083µs,46.917µs,50.083µs,188.959µs,67.083µs,50.875µs,59.375µs
206.75µs,82.625µs,159.958µs,106.125µs,328.292µs,45.791µs,66.458µs,45.834µs,175.708µs,77.667µs,68.416µs,56.333µs
210.458µs,103.042µs,194.25µs,75.708µs,242.291µs,69.25µs,49µs,42.667µs,253.25µs,73.625µs,52.542µs,71.916µs
254.875µs,92.875µs,266µs,92.833µs,216.125µs,48.083µs,53.916µs,48.417µs,207.416µs,56.542µs,51.667µs,52.042µs
216.458µs,94.042µs,140.25µs,107.125µs,211.041µs,36.084µs,47.625µs,49.792µs,175.917µs,80.708µs,59.917µs,57.042µs
234.125µs,102.167µs,150.959µs,74.042µs,174.125µs,50.709µs,50.375µs,55µs,212.25µs,62.625µs,48.042µs,45.291µs
218.334µs,79.709µs,157.166µs,105.5µs,276.5µs,46.042µs,51.292µs,58µs,234.5µs,101µs,48.625µs,43.958µs
199.084µs,66.709µs,108.042µs,166.25µs,197.958µs,56.917µs,45.667µs,39.667µs,176.625µs,68.916µs,50.625µs,53.667µs
