Merge Sort - 100,Quick Sort - 100,Merge Sort Async - 100,Quick Sort Async - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort Async - 1000,Quick Sort Async - 1000,Merge Sort - 10000,Quick Sort - 10000,Merge Sort Async - 10000,Quick Sort Async - 10000
224.230459ms,89.792µs,306.666µs,72.792µs,220.59275ms,96.459µs,65.417µs,67µs,222.280416ms,70.208µs,69.208µs,85.834µs
435.917µs,79.375µs,219.917µs,124.417µs,281.541µs,102.416µs,61.375µs,48.5µs,183.042µs,81.792µs,63.042µs,100.125µs
202.5µs,110.458µs,190.084µs,84.125µs,248.958µs,76.375µs,47.833µs,56.916µs,194.166µs,74.958µs,59.375µs,103.25µs
191.084µs,106.25µs,190.5µs,86.5µs,216.792µs,78.667µs,60.916µs,77.5µs,598.459µs,52.333µs,87µs,87.083µs
164.959µs,83.667µs,176.708µs,107.083µs,166.709µs,85.958µs,58.791µs,54.791µs,239.459µs,63µs,48.875µs,84.791µs
143µs,96.833µs,163.875µs,94.375µs,165.291µs,72.791µs,52.209µs,58.334µs,181.375µs,66.166µs,47.708µs,91.792µs
191.625µs,93.208µs,165.75µs,104.791µs,195.625µs,76.959µs,67.875µs,59.459µs,157.583µs,59.709µs,49.666µs,76.542µs
149.666µs,75.25µs,151.833µs,79.167µs,161.875µs,76.083µs,62.625µs,49.208µs,144.375µs,50.541µs,46.875µs,116.625µs
151.792µs,118.459µs,158.041µs,115.416µs,165.458µs,61.834µs,54.375µs,48.084µs,139.541µs,50.542µs,51.541µs,82.667µs
146.666µs,84.125µs,182.041µs,71.25µs,161.25µs,86.041µs,59.958µs,51.417µs,129.375µs,44.416µs,52.75µs,90.791µs
155.458µs,82.417µs,246.458µs,512.084µs,152.084µs,77.292µs,55.25µs,47µs,129.667µs,56.625µs,54.917µs,111.959µs
155.834µs,75.916µs,184.792µs,280.292µs,177.167µs,59.417µs,52.25µs,54.208µs,119.792µs,54.167µs,58.208µs,114.458µs
