Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort - 10000,Quick Sort - 10000
130.672µs,123.732µs,175.566µs,176.405µs,554.259µs,255.504µs
122.616µs,121.916µs,151.197µs,181.773µs,371.402µs,193.087µs
115.099µs,124.526µs,155.544µs,189.016µs,1.327619ms,160.623µs
105.993µs,128.84µs,160.107µs,150.745µs,320.128µs,216.749µs
109.961µs,131.085µs,122.019µs,159.995µs,143.111µs,164.666µs
127.964µs,154.276µs,172.988µs,187.491µs,182.145µs,721.784µs
117.781µs,143.896µs,202.281µs,167.643µs,231.833µs,151.076µs
106.579µs,165.189µs,157.2µs,189.805µs,348.95µs,159.197µs
126.076µs,161.338µs,169.092µs,178.976µs,367.326µs,172.441µs
129.329µs,161.174µs,182.166µs,196.383µs,240.075µs,145.643µs
127.831µs,143.989µs,334.774µs,199.889µs,340.554µs,138.201µs
123.958µs,147.921µs,300.412µs,216.733µs,202.995µs,132.735µs
127.48µs,129.883µs,552.286µs,196.009µs,169.675µs,129.969µs
119.247µs,117.231µs,483.852µs,181.8µs,157.038µs,150.002µs
99.361µs,125.968µs,298.009µs,245.941µs,162.374µs,218.258µs
190.694µs,155.516µs,251.864µs,216.131µs,145.076µs,114.145µs
159.532µs,135.926µs,235.053µs,203.435µs,140.944µs,104.354µs
159.53µs,139.527µs,318.212µs,1.409997ms,137.445µs,119.285µs
159.051µs,160.22µs,214.339µs,192.542µs,128.025µs,121.72µs
189.872µs,167.54µs,187.042µs,214.415µs,137.03µs,119.069µs
185.111µs,170.048µs,165.587µs,375.552µs,156.241µs,117.236µs
167.158µs,243.765µs,154.122µs,169.708µs,136.938µs,126.053µs
174.496µs,232.03µs,171.849µs,183.151µs,157.309µs,117.606µs
192.855µs,196.295µs,179.007µs,159.834µs,131.32µs,122.248µs
181.199µs,138.097µs,168.82µs,163.88µs,148.813µs,121.49µs
235.192µs,179.571µs,202.208µs,172.857µs,145.748µs,129.844µs
250.516µs,164.516µs,160.953µs,169.327µs,132.588µs,146.119µs
183.366µs,243.469µs,182.815µs,212.408µs,132.112µs,123.636µs
148.233µs,218.727µs,158.077µs,164.923µs,137.467µs,123.257µs
173.793µs,214.958µs,193.958µs,203.835µs,140.453µs,126.512µs
191.37µs,262.032µs,131.68µs,164.856µs,129.225µs,116.703µs
226.186µs,212.732µs,148.223µs,199.671µs,141.024µs,125.155µs
266.992µs,220.705µs,163.534µs,200.217µs,152.083µs,137.47µs
195.286µs,162.621µs,161.246µs,207.956µs,133.813µs,161.972µs
180.497µs,163.768µs,244.395µs,193.496µs,134.019µs,122.778µs
213.374µs,235.986µs,152.355µs,169.996µs,149.394µs,111.989µs
201.137µs,207.07µs,164.512µs,170.799µs,125.179µs,115.19µs
164.077µs,239.545µs,159.136µs,168.581µs,144.396µs,116.031µs
167.172µs,333.121µs,184.599µs,188.443µs,139.767µs,118.363µs
162.938µs,254.48µs,132.542µs,175.83µs,140.748µs,94.779µs
129.524µs,208.936µs,146.525µs,167.509µs,138.036µs,116.491µs
139.299µs,154.069µs,135.377µs,183.147µs,132.935µs,118.452µs
125.777µs,137.764µs,140.133µs,194.215µs,134.733µs,124.501µs
134.27µs,148.364µs,133.332µs,202.343µs,126.082µs,210.792µs
128.347µs,154.204µs,135.271µs,176.852µs,132.719µs,106.629µs
113.159µs,181.378µs,129.446µs,200.872µs,130.286µs,102.687µs
150.212µs,129.672µs,134.672µs,184.879µs,133.827µs,128.082µs
132.571µs,116.977µs,137.465µs,187.131µs,148.565µs,145.802µs
123.236µs,157.882µs,119.41µs,177.557µs,114.232µs,159.583µs
120.997µs,164.169µs,164.696µs,183.457µs,126.298µs,158.683µs
142.017µs,119.777µs,130.381µs,185.056µs,119.765µs,154.196µs
163.459µs,142.377µs,146.572µs,184.418µs,126.395µs,113.286µs
150.733µs,140.009µs,144.94µs,192.715µs,127.631µs,218.233µs
124.68µs,121.478µs,129.582µs,191.24µs,129.553µs,262.082µs
136.793µs,153.282µs,133.122µs,200.987µs,144.998µs,147.221µs
112.399µs,144.08µs,123.532µs,158.391µs,124.611µs,167.514µs
138.175µs,130.732µs,120.587µs,183.638µs,118.508µs,149.339µs
123.991µs,142.127µs,117.911µs,202.16µs,126.439µs,120.263µs
133.006µs,150.175µs,151.49µs,176.487µs,141.518µs,149.986µs
119.371µs,211.378µs,154.568µs,245.258µs,134.953µs,127.305µs
124.369µs,144.962µs,122.553µs,9.361742ms,141.083µs,136.59µs
,,124.093µs,195.274µs,123.96µs,237.397µs
,,128.305µs,176.834µs,130.282µs,175.265µs
,,131.818µs,771.983µs,124.071µs,189.866µs
,,532.011µs,824.166µs,151.466µs,160.792µs
,,437.018µs,323.233µs,134.47µs,2.013899ms
,,138.398µs,235.729µs,130.844µs,1.029174ms
,,125.35µs,361.894µs,141.389µs,515.805µs
,,126.915µs,198.791µs,126.911µs,387.99µs
,,120.107µs,246.143µs,116.334µs,338.686µs
,,123.807µs,230.008µs,137.208µs,257.827µs
,,117.452µs,252.638µs,137.103µs,181.124µs
,,111.005µs,206.052µs,156.065µs,190.186µs
,,129.262µs,184.557µs,143.49µs,185.014µs
,,127.692µs,200.165µs,187.131µs,237.812µs
,,114.715µs,198.055µs,192.648µs,170.053µs
,,119.37µs,175.478µs,173.183µs,116.011µs
,,119.375µs,187.508µs,161.725µs,158.975µs
,,125.357µs,156.974µs,168.491µs,124.133µs
,,133.218µs,167.421µs,168.861µs,142.229µs
,,104.987µs,136.659µs,161.26µs,120.764µs
,,115.192µs,138.771µs,212.229µs,131.425µs
,,119.323µs,102.629µs,154.928µs,147.443µs
,,118.716µs,531.945µs,175.604µs,129.984µs
,,152.46µs,233.115µs,218.58µs,126.311µs
,,128.799µs,176.59µs,147.776µs,146.547µs
,,121.481µs,163.638µs,187.253µs,147.579µs
,,180.019µs,376.158µs,154.14µs,149.024µs
,,137.607µs,171.229µs,132.191µs,146.784µs
,,147.826µs,164.01µs,163.778µs,170.073µs
,,146.261µs,147.718µs,182.276µs,138.082µs
,,142.746µs,167.736µs,221.673µs,123.295µs
,,151.083µs,125.138µs,212.41µs,143.459µs
,,174.032µs,168.118µs,331.504µs,126.237µs
,,175.783µs,118.33µs,903.545µs,131.313µs
,,153.443µs,149.607µs,1.245526ms,113.429µs
,,178.371µs,135.341µs,209.351µs,125.825µs
,,190.449µs,114.51µs,183.285µs,146.154µs
,,264.871µs,122.68µs,246.745µs,131.438µs
,,162.106µs,120.915µs,186.914µs,132.459µs
,,208.933µs,114.248µs,181.838µs,127.48µs
,,197.622µs,120.181µs,147.973µs,146.922µs
,,224.973µs,123.243µs,169.672µs,132.914µs
,,184.883µs,110.715µs,135.579µs,159.768µs
,,225.27µs,115.177µs,142.019µs,138.36µs
,,185.495µs,116.441µs,146.927µs,119.95µs
,,426.453µs,114.973µs,133.37µs,118.459µs
,,481.321µs,124.766µs,133.591µs,110.992µs
,,630.526µs,122.834µs,149.019µs,123.917µs
,,420.656µs,127.675µs,149.871µs,109.812µs
,,289.028µs,137.26µs,133.304µs,127.795µs
,,244.136µs,114.284µs,144.095µs,118.898µs
,,215.31µs,144.493µs,124.855µs,128.803µs
,,160.475µs,126.67µs,158.782µs,119.951µs
,,164.692µs,144.759µs,159.221µs,177.346µs
,,160.232µs,134.902µs,150.414µs,124.053µs
,,158.756µs,129.173µs,128.293µs,110.684µs
,,165.931µs,115.375µs,160.241µs,112.015µs
,,128.504µs,160.368µs,158.46µs,113.955µs
,,136.212µs,133.394µs,141.543µs,108.517µs
,,131.465µs,127.808µs,135.06µs,113.27µs
,,129.952µs,152.322µs,154.958µs,114.718µs
,,127.24µs,160.148µs,164.358µs,132.152µs
,,141.465µs,179.465µs,143.364µs,136.092µs
,,155.118µs,179.317µs,155.677µs,130.736µs
,,124.712µs,171.826µs,169.185µs,141.006µs
,,138.175µs,160.74µs,135.782µs,100.809µs
,,122.261µs,166.713µs,132.458µs,122.759µs
,,137.224µs,217.61µs,147.374µs,118.426µs
,,122.558µs,155.517µs,133.744µs,116.944µs
,,138.199µs,238.419µs,124.961µs,120.624µs
,,142.832µs,4.475284ms,151.026µs,131.183µs
,,128.046µs,844.942µs,137.603µs,109.303µs
,,142.945µs,331.406µs,124.005µs,115.859µs
,,135.484µs,649.932µs,164.631µs,101.664µs
,,150.29µs,268.161µs,126.896µs,129.139µs
,,139.869µs,274.728µs,166.663µs,110.284µs
,,127.411µs,221.055µs,128.268µs,107.562µs
,,134.772µs,190.769µs,124.225µs,116.747µs
,,161.901µs,205.62µs,122.34µs,136.747µs
,,169.915µs,184.385µs,113.591µs,129.984µs
,,150.841µs,179.313µs,98.263µs,128.668µs
,,145.002µs,172.451µs,115.488µs,156.117µs
,,129.175µs,147.96µs,129.356µs,130.059µs
,,136.335µs,179.123µs,124.491µs,140.103µs
,,140.061µs,1.324379ms,103.118µs,137.609µs
,,143.65µs,388.361µs,123.572µs,126.057µs
,,433.415µs,210.247µs,118.451µs,132.409µs
,,191.622µs,192.618µs,148.66µs,117.341µs
,,137.945µs,207.346µs,121.235µs,135.422µs
,,137.517µs,170.643µs,122.815µs,123.278µs
,,177.048µs,205.74µs,124.525µs,140.173µs
,,122.25µs,176.481µs,124.301µs,286.838µs
,,111.315µs,141.364µs,106.905µs,176.563µs
,,89.104µs,155.675µs,116.335µs,182.144µs
,,114.072µs,209.932µs,118.726µs,196.024µs
,,114.057µs,168.858µs,116.225µs,279.172µs
,,111.09µs,192.316µs,114.126µs,2.15078ms
,,136.393µs,144.74µs,89.83µs,1.353557ms
,,109.74µs,210.386µs,350.888µs,268.951µs
,,121.222µs,136.983µs,262.96µs,190.341µs
,,114.785µs,159.684µs,136.055µs,153.574µs
,,124.791µs,141.72µs,154.839µs,140.262µs
,,116.74µs,130.091µs,130.136µs,173.485µs
,,110.02µs,180.17µs,145.407µs,142.343µs
,,123.751µs,173.136µs,128.013µs,175.646µs
,,109.312µs,140.82µs,137.896µs,168.701µs
,,103.556µs,139.183µs,127.205µs,182.899µs
,,114.029µs,146.305µs,129.569µs,361.529µs
,,116.737µs,134.777µs,156.451µs,216.473µs
,,113.734µs,144.14µs,137.362µs,172.887µs
,,123.174µs,139.747µs,159.635µs,207.95µs
,,116.145µs,132.179µs,181.668µs,160.386µs
,,136.886µs,164.65µs,154.205µs,146.359µs
,,126.971µs,163.145µs,140.494µs,168.63µs
,,122.593µs,227.757µs,1.033306ms,148.71µs
,,125.695µs,261.681µs,371.761µs,135.019µs
,,125.665µs,224.221µs,356.38µs,143.867µs
,,154.064µs,217.007µs,522.272µs,133.066µs
,,152.307µs,279.725µs,450.362µs,178.42µs
,,177.907µs,200.301µs,303.783µs,142.505µs
,,159.93µs,260.159µs,277.745µs,131.88µs
,,145.808µs,186.669µs,409.529µs,133.879µs
,,179.074µs,197.2µs,378.243µs,150.833µs
,,238.937µs,172.735µs,225.108µs,121.449µs
,,197.302µs,173.289µs,198.434µs,136.292µs
,,153.295µs,170.075µs,156.227µs,133.063µs
,,212.356µs,185.486µs,159.982µs,114.684µs
,,201.136µs,148.451µs,149.905µs,127.915µs
,,726.992µs,172.201µs,125.509µs,117.977µs
,,720.693µs,213.065µs,156.236µs,128.381µs
,,1.253861ms,196.409µs,139.092µs,122.464µs
,,386.694µs,181.811µs,138.737µs,144.068µs
,,245.319µs,202.333µs,134.959µs,157.024µs
,,310.78µs,162.575µs,146.757µs,149.333µs
,,1.102929ms,169.476µs,112.956µs,180.343µs
,,214.917µs,164.276µs,132.054µs,123.581µs
,,180.976µs,165.531µs,134.965µs,122.638µs
,,150.899µs,218.566µs,143.639µs,123.647µs
,,149.499µs,139.907µs,144.118µs,124.128µs
,,199.389µs,178.365µs,139.677µs,133.482µs
,,166.005µs,177.682µs,133.553µs,118.835µs
,,159.658µs,173.418µs,123.446µs,108.797µs
,,149.981µs,135.995µs,125.133µs,129.762µs
,,139.45µs,183.739µs,120.499µs,116.1µs
,,145.018µs,148.911µs,145.396µs,108.947µs
,,153.425µs,156.155µs,131.872µs,110.324µs
,,127.4µs,171.976µs,117.283µs,105.977µs
,,136.729µs,186.645µs,135.591µs,92.113µs
,,153.915µs,183.864µs,138.119µs,120.624µs
,,174.427µs,160.503µs,128.03µs,121.836µs
,,167.094µs,161.781µs,137.533µs,124.849µs
,,142.319µs,137.281µs,138.817µs,125.624µs
,,131.425µs,158.502µs,124.118µs,125.759µs
,,152.167µs,154.064µs,124.318µs,127.18µs
,,144.94µs,157.823µs,130.188µs,113.623µs
,,167.703µs,152.768µs,121.646µs,110.897µs
,,134.755µs,129.564µs,121.858µs,108.049µs
,,129.78µs,130.605µs,149.663µs,112.839µs
,,172.025µs,145.042µs,134.902µs,111.395µs
,,148.147µs,129.467µs,123.003µs,121.9µs
,,148.423µs,145.551µs,147.958µs,118.391µs
,,140.242µs,127.456µs,522.185µs,111.245µs
,,135.782µs,127.251µs,130.371µs,115.441µs
,,150.203µs,118.876µs,111.795µs,133.243µs
,,163.07µs,125.561µs,97.507µs,145.791µs
,,135.753µs,132.153µs,127.442µs,121.471µs
,,139.053µs,122.066µs,126.56µs,155.181µs
,,156.803µs,129.678µs,131.472µs,122.497µs
,,122.636µs,110.687µs,140.65µs,123.027µs
,,136.084µs,139.825µs,121.14µs,129.313µs
,,140.661µs,135.549µs,116.024µs,144.511µs
,,177.272µs,134.127µs,135.12µs,137.02µs
,,136.46µs,150.388µs,125.528µs,149.943µs
,,109.743µs,145.219µs,108.024µs,179.615µs
,,131.104µs,127.033µs,115.097µs,352.748µs
,,116.556µs,131.476µs,132.842µs,180.426µs
,,108.596µs,147.336µs,133.145µs,212.298µs
,,107.912µs,159.046µs,132.622µs,165.23µs
,,117.089µs,179.453µs,145.636µs,172.766µs
,,123.197µs,144.494µs,136.302µs,207.923µs
,,110.113µs,154.834µs,129.959µs,258.751µs
,,127.6µs,182.974µs,115.736µs,235.031µs
,,115.212µs,135.011µs,120.291µs,305.381µs
,,128.76µs,139.411µs,135.416µs,193.225µs
,,126.501µs,169.398µs,147.175µs,185.802µs
,,110.731µs,127.96µs,123.267µs,224.896µs
,,124.189µs,118.921µs,121.533µs,275.205µs
,,101.526µs,169.658µs,148.044µs,159.073µs
,,128.194µs,128.371µs,120.798µs,214.934µs
,,132.788µs,103.329µs,120.905µs,197.48µs
,,121.081µs,92.473µs,123.374µs,190.516µs
,,120.806µs,103.55µs,119.117µs,241.299µs
,,123.661µs,115.034µs,184.355µs,209.26µs
,,138.324µs,110.691µs,150.431µs,190.636µs
,,137.526µs,126.857µs,128.176µs,278.573µs
,,130.509µs,98.868µs,111.165µs,283.183µs
,,136.722µs,103.435µs,105µs,195.443µs
,,133.211µs,117.641µs,125.829µs,144.055µs
,,148.216µs,108.411µs,121.599µs,176.524µs
,,155.816µs,112.148µs,169.621µs,147.17µs
,,140.133µs,126.627µs,126.311µs,138.002µs
,,147.121µs,121.971µs,141.254µs,136.698µs
,,123.813µs,128.453µs,164.361µs,122.748µs
,,131.404µs,126.176µs,168.778µs,121.102µs
,,153.283µs,111.671µs,208.274µs,143.933µs
,,168.09µs,140.005µs,259.699µs,131.128µs
,,175.096µs,132.805µs,289.041µs,115.464µs
,,150.775µs,121.276µs,354.468µs,136.573µs
,,135.722µs,131.403µs,356.518µs,132.192µs
,,145.337µs,157.608µs,239.419µs,130.148µs
,,192.396µs,155.184µs,179.11µs,117.499µs
,,136.297µs,148.461µs,515.786µs,125.384µs
,,171.085µs,142.452µs,398.109µs,134.284µs
,,197.672µs,137.218µs,263.131µs,124.658µs
,,174.973µs,157.314µs,278.161µs,142.114µs
,,263.825µs,157.632µs,252.217µs,131.707µs
,,221.83µs,164.335µs,150.799µs,152.671µs
,,441.187µs,155.065µs,222.124µs,136.034µs
,,959.628µs,151.253µs,191.113µs,135.055µs
,,540.759µs,185.656µs,189.584µs,130.933µs
,,194.704µs,208.285µs,203.549µs,144.051µs
,,178.329µs,209.892µs,225.697µs,158.441µs
,,190.109µs,198.628µs,179.613µs,153.544µs
,,212.304µs,252.74µs,183.695µs,190.002µs
,,149.058µs,761.079µs,182.441µs,173.45µs
,,191.883µs,288.511µs,175.852µs,156.111µs
,,136.479µs,295.126µs,124.459µs,146.839µs
,,127.494µs,187.998µs,123.029µs,155.672µs
,,155.482µs,190.398µs,134.39µs,139.71µs
,,219.082µs,170.658µs,135.156µs,143.736µs
,,174.183µs,182.864µs,133.319µs,128.168µs
,,197.408µs,173.895µs,124.066µs,118.389µs
,,199.246µs,184.868µs,111.354µs,114.828µs
,,194.658µs,142.078µs,142.877µs,107.511µs
,,181.438µs,137.101µs,131.037µs,118.2µs
,,156.406µs,146.778µs,129.962µs,140.515µs
,,145.178µs,158.338µs,182.285µs,128.573µs
,,163.107µs,137.438µs,159.643µs,116.526µs
,,148.265µs,142.933µs,134.571µs,123.535µs
,,125.414µs,173.599µs,147.371µs,115.691µs
,,171.194µs,192.057µs,157.308µs,153.96µs
,,154.32µs,162.461µs,125.577µs,124.253µs
,,121.116µs,137.623µs,142.729µs,93.909µs
,,138.391µs,166.629µs,139.359µs,122.894µs
,,158.622µs,206.463µs,128.03µs,112.408µs
,,1.322808ms,206.132µs,126.239µs,113.38µs
,,247.339µs,242.53µs,121.136µs,118.733µs
,,171.045µs,173.358µs,123.283µs,115.624µs
,,153.55µs,179.084µs,129.558µs,109.754µs
,,141.26µs,170.765µs,147.114µs,109.356µs
,,127.358µs,149.153µs,109.543µs,107.775µs
,,189.168µs,134.44µs,152.12µs,113.918µs
,,138.53µs,137.862µs,136.063µs,129.331µs
,,163.983µs,162.989µs,143.583µs,119.023µs
,,141.067µs,173.587µs,149.871µs,117.137µs
,,115.574µs,164.858µs,132.505µs,115.909µs
,,116.568µs,134.821µs,119.436µs,115.298µs
,,127.726µs,205.758µs,142.743µs,116.417µs
,,128.879µs,163.125µs,144.889µs,107.775µs
,,116.787µs,435.154µs,125.927µs,112.047µs
,,126.451µs,243.308µs,119.316µs,115.029µs
,,126.105µs,220.256µs,136.73µs,126.603µs
,,117.209µs,160.867µs,120.721µs,118.238µs
,,115.096µs,139.768µs,127.715µs,121.792µs
,,105.616µs,128.667µs,153.034µs,138.925µs
,,103.63µs,135.897µs,125.895µs,132.836µs
,,122.116µs,162.859µs,123.224µs,120.231µs
,,108.911µs,155.197µs,132.387µs,180.584µs
,,128.212µs,170.998µs,136.071µs,138.016µs
,,134.959µs,125.121µs,121.417µs,132.014µs
,,123.573µs,125.827µs,146.256µs,163.641µs
,,129.29µs,143.284µs,118.635µs,125.96µs
,,138.021µs,157.45µs,110.421µs,154.364µs
,,119.59µs,247.075µs,120.716µs,149.286µs
,,129.35µs,123.548µs,129.229µs,137.734µs
,,147.225µs,105.081µs,124.101µs,138.41µs
,,162.972µs,117.266µs,128.954µs,219.018µs
,,138.732µs,116.407µs,155.11µs,193.29µs
,,119.761µs,124.332µs,130.224µs,247.765µs
,,118.484µs,129.708µs,129.745µs,219.44µs
,,126.932µs,140.422µs,121.901µs,252.614µs
,,134.709µs,115.304µs,124.047µs,1.952384ms
,,126.172µs,128.615µs,158.306µs,591.212µs
,,139.931µs,139.465µs,138.1µs,1.094947ms
,,122.275µs,143.669µs,161.625µs,318.707µs
,,131.9µs,132.839µs,161.031µs,199.108µs
,,167.324µs,132.213µs,148.723µs,176.971µs
,,160.212µs,117.153µs,153.084µs,166.5µs
,,166.508µs,101.06µs,179.605µs,273.128µs
,,184.817µs,143.321µs,194.381µs,177.993µs
,,161.039µs,136.524µs,188.449µs,160.158µs
,,176.848µs,165.744µs,202.677µs,158.997µs
,,193.488µs,132.595µs,174.954µs,142.832µs
,,163.052µs,155.889µs,158.835µs,181.991µs
,,145.628µs,310.848µs,199.101µs,156.612µs
,,179.762µs,196.336µs,161.03µs,132.439µs
,,250.945µs,316.197µs,220.224µs,132.3µs
,,206.091µs,298.506µs,157.927µs,118.119µs
,,723.258µs,224.673µs,147.07µs,128µs
,,2.199301ms,300.367µs,144.24µs,129.832µs
,,812.943µs,284.056µs,386.845µs,114.254µs
,,277.754µs,242.721µs,209.761µs,131.091µs
,,221.651µs,285.022µs,1.183013ms,139.157µs
,,170.564µs,188.677µs,1.030656ms,141.176µs
,,160.449µs,191.721µs,564.954µs,128.047µs
,,156.626µs,183.529µs,228.398µs,142.525µs
,,152.13µs,1.505018ms,180.18µs,133.469µs
,,200.184µs,471.577µs,311.647µs,136.024µs
,,212.63µs,340.621µs,160.574µs,138.212µs
,,190.366µs,233.878µs,135.694µs,139.749µs
,,180.491µs,218.891µs,154.23µs,144.317µs
,,166.047µs,215.658µs,136.7µs,132.825µs
,,177.683µs,192.956µs,128.785µs,146.069µs
,,236.086µs,175.662µs,118.062µs,134.645µs
,,163.51µs,147.297µs,133.511µs,132.232µs
,,246.102µs,132.296µs,128.696µs,109.691µs
,,1.667132ms,145.025µs,146.127µs,124.945µs
,,360.769µs,160.868µs,150.778µs,109.881µs
,,154.121µs,137.268µs,131.2µs,124.536µs
,,163.105µs,135.57µs,128.992µs,127.79µs
,,157.625µs,146.002µs,108.882µs,130.298µs
,,182.064µs,136.101µs,128.655µs,117.241µs
,,146.261µs,132.611µs,120.84µs,131.14µs
,,149.578µs,136.071µs,104.009µs,117.674µs
,,141.465µs,108.101µs,120.018µs,122.31µs
,,131.85µs,124.86µs,125.287µs,116.926µs
,,156.858µs,130.395µs,118.659µs,108.251µs
,,125.683µs,116.481µs,146.79µs,126.026µs
,,121.65µs,158.63µs,136.738µs,132.339µs
,,120.571µs,138.244µs,126.702µs,127.414µs
,,146.344µs,116.989µs,138.995µs,162.841µs
,,246.212µs,118.964µs,117.528µs,129.754µs
,,768.396µs,143.047µs,134.045µs,113.988µs
,,321.122µs,129.424µs,139.83µs,104.121µs
,,173.973µs,126.846µs,149.777µs,117.336µs
,,149.885µs,137.979µs,150.927µs,107.887µs
,,149.223µs,121.29µs,163.549µs,105.257µs
,,167.589µs,129.929µs,129.074µs,108.033µs
,,135.884µs,117.214µs,153.425µs,113.292µs
,,139.556µs,142.897µs,178.277µs,121.321µs
,,137.49µs,179.955µs,152.702µs,96.701µs
,,144.056µs,135.668µs,188.12µs,115.005µs
,,149.101µs,125.485µs,147.029µs,130.954µs
,,146.035µs,146.009µs,121.212µs,130.885µs
,,142.723µs,125.52µs,121.967µs,120.112µs
,,135.659µs,127.179µs,133.084µs,127.254µs
,,150.261µs,161.304µs,133.742µs,125.65µs
,,187.413µs,138.712µs,122.808µs,130.263µs
,,156.173µs,126.54µs,144.284µs,132.413µs
,,218.393µs,131.202µs,126.553µs,117.264µs
,,161.981µs,127.855µs,125.054µs,146.478µs
,,201.876µs,141.974µs,128.02µs,166.606µs
,,163.027µs,133.896µs,160.185µs,126.61µs
,,239.595µs,122.711µs,172.357µs,149.204µs
,,1.254967ms,121.354µs,153.361µs,158.593µs
,,697.654µs,134.576µs,105.194µs,138.198µs
,,476.433µs,161.478µs,129.025µs,137.031µs
,,592.889µs,130.322µs,121.439µs,131.339µs
,,437.754µs,123.04µs,112.001µs,130.661µs
,,347.131µs,135.164µs,96.942µs,141.365µs
,,305.271µs,115.304µs,135.11µs,175.172µs
,,167.09µs,111.625µs,122.458µs,177.039µs
,,157.693µs,126.576µs,152.572µs,571.811µs
,,207.487µs,110.241µs,151.451µs,297.74µs
,,217.609µs,118.933µs,149.784µs,283.966µs
,,462.855µs,102.141µs,127.48µs,249.231µs
,,361.837µs,111.536µs,111.073µs,160.744µs
,,246.326µs,115.148µs,117.218µs,154.001µs
,,173.069µs,104.999µs,106.791µs,750.446µs
,,173.763µs,111.191µs,114.983µs,1.410204ms
,,1.30989ms,100.342µs,125.475µs,258.442µs
,,586.097µs,114.108µs,146.831µs,168.608µs
,,1.088037ms,104.568µs,131.922µs,178.453µs
,,281.736µs,120.767µs,169.049µs,175.741µs
,,187.339µs,117.853µs,130.003µs,155.607µs
,,172.669µs,124.41µs,122.13µs,172.12µs
,,235.712µs,123.623µs,159.295µs,160.276µs
,,170.201µs,141.671µs,149.877µs,142.439µs
,,195.912µs,125.601µs,159.932µs,139.976µs
,,144.741µs,125.647µs,150.938µs,140.299µs
,,125.59µs,160.54µs,241.049µs,133.258µs
,,132.046µs,126.143µs,185.127µs,126.164µs
,,138.048µs,117.878µs,246.53µs,108.655µs
,,164.561µs,137.487µs,173.644µs,131.439µs
,,144.179µs,125.397µs,199.544µs,141.345µs
,,151.374µs,134.272µs,176.451µs,137.813µs
,,141.996µs,152.023µs,201.79µs,132.893µs
,,132.85µs,150.497µs,206.102µs,142.643µs
,,148.306µs,140.582µs,222.902µs,133.239µs
,,142.725µs,147.673µs,1.154467ms,138.751µs
,,142.749µs,180.512µs,403.275µs,141.136µs
,,138.943µs,159.39µs,248.605µs,148.456µs
,,132.885µs,150.909µs,684.953µs,130.661µs
,,135.007µs,197.227µs,284.723µs,158.407µs
