Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort - 10000,Quick Sort - 10000
1.520833ms,313.772µs,1.28631ms,164.108µs,855.653µs,108.812µs
148.515µs,130.661µs,191.406µs,150.778µs,179.864µs,111.092µs
178.094µs,121.145µs,143.125µs,143.751µs,129.561µs,109.544µs
132.877µs,116.695µs,127.726µs,140.267µs,140.028µs,105.12µs
158.009µs,104.476µs,128.846µs,149.968µs,129.044µs,108.3µs
118.989µs,135.914µs,142.334µs,180.355µs,135.311µs,114.248µs
155.523µs,155.972µs,138.432µs,135.618µs,127.322µs,109.363µs
112.641µs,121.349µs,130.434µs,134.554µs,154.339µs,124.898µs
107.578µs,152.392µs,125.416µs,130.914µs,135.149µs,114.144µs
124.686µs,135.179µs,136.869µs,133.291µs,177.37µs,122.642µs
111.442µs,134.452µs,112.589µs,161.585µs,880.076µs,117.371µs
107.413µs,182.401µs,137.604µs,198.792µs,122.75µs,119.206µs
118.465µs,133.241µs,126.242µs,188.717µs,125.492µs,115.873µs
111.487µs,135µs,124.16µs,199.798µs,122.121µs,108.058µs
119.403µs,107.796µs,117.829µs,212.456µs,105.148µs,140.147µs
119.006µs,128.629µs,532.973µs,183.432µs,92.09µs,124.852µs
119.946µs,114.742µs,128.362µs,166.139µs,106.707µs,151.737µs
107.176µs,117.923µs,261.102µs,205.858µs,126.711µs,264.415µs
109.952µs,93.243µs,158.649µs,186.109µs,114.088µs,134.243µs
118.701µs,159.948µs,161.746µs,220.851µs,113.722µs,150.554µs
112.664µs,125.923µs,157.629µs,167.695µs,128.623µs,159.531µs
130.725µs,97.596µs,127.237µs,184.521µs,115.469µs,173.287µs
113.709µs,106.256µs,142.322µs,182.343µs,118.438µs,140.485µs
123.988µs,104.755µs,139µs,179.583µs,115.175µs,129.059µs
100.914µs,118.286µs,128.21µs,216.694µs,116.136µs,148.991µs
103.409µs,109.47µs,132.769µs,186.852µs,141.316µs,152.551µs
124.92µs,101.246µs,149.524µs,194.914µs,130.588µs,649.312µs
106.7µs,121.877µs,140.182µs,228.972µs,135.861µs,326.35µs
114.008µs,95.637µs,133.542µs,162.761µs,145.03µs,222.026µs
96.927µs,110.701µs,152.604µs,150.563µs,153.12µs,311.022µs
120.3µs,137.861µs,157.271µs,156.792µs,130.47µs,233.804µs
159.726µs,106.052µs,107.234µs,159.526µs,158.27µs,201.524µs
117.819µs,126.431µs,134.897µs,151.274µs,173.853µs,194.979µs
117.113µs,101.693µs,178.111µs,166.762µs,176.873µs,255.167µs
126.918µs,97.875µs,168.963µs,140.751µs,185.496µs,247.707µs
123.313µs,138.273µs,137.355µs,155.947µs,154.982µs,423.347µs
114.138µs,123.432µs,126.08µs,187.356µs,142.25µs,968.811µs
126.659µs,130.286µs,139.927µs,179.192µs,178.456µs,1.038692ms
121.358µs,179.313µs,169.504µs,174.182µs,414.243µs,537.065µs
