Merge Sort - 10,Quick Sort - 10,Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000
,,,,120.011µs,181.659µs
,,,,123.041µs,155.45µs
,,,,109.38µs,150.321µs
,,,,129.035µs,372.515µs
,,,,128.144µs,277.308µs
,,,,116.665µs,163.881µs
,,,,112.441µs,200.764µs
,,,,117.186µs,151.652µs
,,,,116.754µs,165.71µs
,,,,130.381µs,181.805µs
,,,,103.891µs,143.818µs
,,,,106.124µs,152.307µs
,,,,136.364µs,148.26µs
,,,,124.298µs,163.002µs
,,,,126.76µs,204.61µs
,,,,112.913µs,579.52µs
,,,,108.687µs,293.863µs
,,,,141.77µs,191.896µs
,,,,111.437µs,207.672µs
,,,,120.513µs,184.061µs
,,,,110.154µs,188.894µs
,,,,159.639µs,158.766µs
,,,,130.432µs,127.565µs
,,,,132.414µs,148.815µs
,,,,168.185µs,135.938µs
,,,,137.841µs,160.937µs
,,,,163.132µs,693.557µs
,,,,202.275µs,268.99µs
,,,,164.394µs,233.892µs
,,,,162.135µs,216.112µs
,,,,176.618µs,220.548µs
,,,,172.433µs,171.905µs
,,,,180.222µs,229.448µs
,,,,171.751µs,203.532µs
,,,,194.593µs,207.347µs
,,,,189.367µs,234.166µs
,,,,205.434µs,186.768µs
,,,,181.626µs,201.05µs
,,,,227.6µs,176.598µs
,,,,149.108µs,228.66µs
,,,,170.921µs,423.922µs
,,,,240.569µs,178.02µs
,,,,264.777µs,172.821µs
,,,,158.392µs,164.09µs
,,,,168.799µs,138.802µs
,,,,263.49µs,140.07µs
,,,,210.628µs,171.172µs
,,,,202.941µs,172.364µs
,,,,227.232µs,204.212µs
,,,,794.549µs,225.277µs
,,,,234.669µs,148.217µs
,,,,182.825µs,162.979µs
,,,,197.693µs,430.449µs
,,,,153.391µs,213.671µs
,,,,140.979µs,246.807µs
,,,,159.266µs,224.71µs
,,,,147.652µs,230.573µs
,,,,157.277µs,197.472µs
,,,,131.044µs,208.944µs
,,,,143.434µs,200.792µs
,,,,176.134µs,355.826µs
,,,,170.842µs,266.665µs
,,,,174.771µs,193.351µs
,,,,127.477µs,256.32µs
,,,,141.123µs,668.775µs
,,,,155.746µs,242.222µs
,,,,138.565µs,197.808µs
,,,,153.368µs,165.959µs
,,,,206.253µs,192.374µs
,,,,157.258µs,190.611µs
,,,,170.844µs,199.928µs
,,,,150.038µs,188.909µs
,,,,147.531µs,228.932µs
,,,,141.104µs,192.568µs
,,,,148.546µs,240.108µs
,,,,130.301µs,232.284µs
,,,,156.777µs,257.507µs
,,,,135.455µs,182.344µs
,,,,155.379µs,187.226µs
