Merge Sort - 10,Quick Sort - 10,Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000
,,,,143.603µs,115.064µs
,,,,126.681µs,110.9µs
,,,,143.696µs,125.049µs
,,,,150.193µs,117.655µs
,,,,131.545µs,116.139µs
,,,,123.694µs,108.341µs
,,,,126.928µs,105.938µs
,,,,117.558µs,110.282µs
,,,,124.493µs,103.488µs
,,,,159.38µs,109.057µs
,,,,126.277µs,116.693µs
,,,,132.083µs,112.368µs
,,,,196.251µs,105.818µs
,,,,156.876µs,105.587µs
,,,,136.365µs,110.059µs
,,,,148.81µs,112.649µs
,,,,132.241µs,117.456µs
,,,,148.721µs,109.326µs
,,,,137.333µs,104.604µs
,,,,154.244µs,108.746µs
,,,,138.863µs,115.809µs
,,,,126.782µs,111.468µs
,,,,127.514µs,139.701µs
,,,,132.315µs,277.822µs
,,,,133.212µs,136.919µs
,,,,139.635µs,118.756µs
,,,,118.243µs,118.117µs
,,,,165.343µs,181.769µs
,,,,132.896µs,136.481µs
,,,,113.58µs,147.389µs
,,,,104.32µs,162.068µs
,,,,104.344µs,133.347µs
,,,,119.137µs,131.944µs
,,,,111.79µs,131.601µs
,,,,110.298µs,142.974µs
,,,,109.533µs,141.582µs
,,,,112.877µs,145.947µs
,,,,132.5µs,144.683µs
,,,,107.623µs,179.269µs
,,,,119.44µs,150.432µs
,,,,119.948µs,172.81µs
,,,,119.401µs,177.501µs
,,,,119.14µs,158.343µs
,,,,124.945µs,169.696µs
,,,,120.358µs,155.466µs
,,,,141.829µs,173.131µs
,,,,129.85µs,133.946µs
,,,,137.858µs,181.557µs
,,,,135.853µs,628.607µs
,,,,133.589µs,221.678µs
,,,,138.954µs,340.946µs
,,,,177.796µs,267.814µs
,,,,166.587µs,203.892µs
,,,,165.439µs,246.041µs
,,,,189.693µs,177.125µs
,,,,236.899µs,152.754µs
,,,,199.915µs,164.388µs
,,,,164.301µs,163.677µs
,,,,133.377µs,170.778µs
,,,,176.893µs,143.367µs
,,,,166.531µs,179.052µs
,,,,286.403µs,140.125µs
,,,,224.723µs,133.569µs
,,,,234.243µs,112.772µs
,,,,404.045µs,138.035µs
,,,,206.832µs,126.616µs
,,,,330.429µs,135.911µs
,,,,533.755µs,143.179µs
,,,,230.137µs,124.297µs
,,,,471.917µs,111.228µs
,,,,298.924µs,131.022µs
,,,,258.949µs,145.396µs
,,,,184.163µs,130.837µs
,,,,174.614µs,139.91µs
,,,,533.054µs,102.795µs
,,,,260.954µs,107.223µs
,,,,177.962µs,146.1µs
,,,,152.715µs,126.022µs
,,,,158.393µs,133.157µs
,,,,187.259µs,148.33µs
,,,,222.858µs,121.165µs
,,,,172.529µs,141.788µs
,,,,171.193µs,145.11µs
,,,,179.532µs,138.716µs
,,,,209.312µs,118.52µs
,,,,254.42µs,134.686µs
,,,,224.509µs,135.207µs
,,,,213.402µs,139.024µs
,,,,179.002µs,135.46µs
,,,,173.686µs,148.29µs
,,,,160.374µs,135.02µs
,,,,155.115µs,129.034µs
,,,,253.239µs,132.485µs
,,,,148.619µs,135.538µs
,,,,149.804µs,128.977µs
,,,,183.387µs,126.836µs
,,,,150.879µs,118.091µs
,,,,145.843µs,147.649µs
,,,,155.316µs,118.068µs
,,,,165.743µs,99.795µs
,,,,263.821µs,113.692µs
,,,,182.014µs,119.847µs
,,,,213.258µs,115.37µs
,,,,137.254µs,103.379µs
,,,,185.137µs,103.261µs
,,,,162.487µs,123.355µs
,,,,164.829µs,107.78µs
,,,,305.477µs,110.25µs
,,,,161.07µs,111.576µs
,,,,197.263µs,99.528µs
,,,,139.734µs,115.837µs
,,,,114.883µs,115.727µs
,,,,156.036µs,94.785µs
,,,,126.093µs,108.251µs
,,,,135.046µs,97.802µs
,,,,196.069µs,113.23µs
,,,,134.96µs,118.403µs
,,,,136.113µs,115.543µs
,,,,134.794µs,119.172µs
,,,,121.761µs,120.208µs
,,,,145.473µs,128.517µs
,,,,144.97µs,111.896µs
,,,,121.602µs,117.993µs
,,,,120.893µs,105.498µs
,,,,122.019µs,112.431µs
,,,,127.341µs,115.101µs
,,,,118.747µs,114.973µs
,,,,107.053µs,96.2µs
,,,,123.361µs,118.358µs
,,,,125.464µs,115.782µs
,,,,119.062µs,120.729µs
,,,,114.866µs,118.058µs
,,,,121.92µs,142.473µs
,,,,118.997µs,120.205µs
,,,,118.735µs,113.093µs
,,,,155.701µs,159.109µs
,,,,118.986µs,137.208µs
,,,,126.567µs,131.707µs
,,,,154.863µs,123.751µs
,,,,139.961µs,126.552µs
,,,,218.188µs,161.99µs
,,,,160.629µs,144.784µs
,,,,202.239µs,145.57µs
,,,,166.84µs,151.767µs
,,,,187.147µs,168.284µs
,,,,166.788µs,139.342µs
,,,,139.202µs,163.74µs
,,,,170.351µs,122.602µs
,,,,188.089µs,138.091µs
,,,,180.208µs,144.938µs
,,,,225.335µs,203.857µs
,,,,443.366µs,212.532µs
,,,,181.585µs,626.902µs
,,,,311.021µs,1.232379ms
,,,,560.574µs,531.714µs
,,,,487.439µs,165.537µs
,,,,243.977µs,172.62µs
,,,,259.174µs,437.08µs
,,,,236.99µs,159.029µs
,,,,167.44µs,184.421µs
,,,,222.576µs,142.274µs
,,,,173.748µs,125.672µs
,,,,169.995µs,118.489µs
,,,,150.383µs,139.573µs
,,,,146.076µs,124.959µs
,,,,166.344µs,137.132µs
,,,,147.55µs,145.753µs
,,,,145.288µs,132.492µs
,,,,151.91µs,145.632µs
,,,,132.004µs,163.178µs
,,,,128.77µs,145.27µs
,,,,139.265µs,138.97µs
,,,,132.917µs,188.723µs
,,,,151.423µs,131.047µs
,,,,138.406µs,149.28µs
,,,,130.452µs,142.67µs
,,,,115.65µs,169.495µs
,,,,165.532µs,140.636µs
,,,,140.101µs,127.285µs
,,,,119.414µs,134.492µs
,,,,138.488µs,158.023µs
,,,,140.216µs,120.896µs
,,,,142.037µs,139.355µs
,,,,114.382µs,125.719µs
,,,,131.219µs,129.425µs
,,,,118.635µs,114.779µs
,,,,121.543µs,125.512µs
,,,,140.542µs,124.815µs
,,,,121.993µs,119.931µs
,,,,102.754µs,145.245µs
,,,,137.925µs,146.531µs
,,,,139.903µs,496.466µs
,,,,121.323µs,135.853µs
,,,,142.243µs,129.031µs
,,,,152.482µs,127.882µs
,,,,136.07µs,130.639µs
,,,,164.662µs,121.329µs
,,,,135.168µs,138.703µs
,,,,142.391µs,162.752µs
,,,,138.502µs,132.686µs
,,,,124.348µs,126.226µs
,,,,130.868µs,119.089µs
,,,,160.926µs,117.846µs
,,,,142.94µs,113.565µs
,,,,135.565µs,121.47µs
,,,,175.112µs,128.911µs
,,,,119.47µs,123.35µs
,,,,121.24µs,120.185µs
,,,,108.561µs,132.318µs
,,,,112.885µs,106.76µs
,,,,121.736µs,124.844µs
,,,,116.343µs,124.543µs
,,,,121.654µs,105.021µs
,,,,103.11µs,98.032µs
,,,,111.468µs,113.817µs
,,,,131.629µs,99.206µs
,,,,115.399µs,102.924µs
,,,,111.483µs,114.813µs
